Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Unidade da Federação (Código),Unidade da Federação,Tipo de domicílio (Código),Tipo de domicílio,Grupo de idade (Código),Grupo de idade,Cor ou raça (Código),Cor ou raça,Ano (Código),Ano,Variável (Código),Variável
3,Unidade da Federação,45,Pessoas,34717,11,Rondônia,2932,Total,1144,20 a 24 anos,2776,Branca,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,10863,11,Rondônia,2932,Total,1144,20 a 24 anos,2777,Preta,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,303,11,Rondônia,2932,Total,1144,20 a 24 anos,2778,Amarela,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,75783,11,Rondônia,2932,Total,1144,20 a 24 anos,2779,Parda,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,1662,11,Rondônia,2932,Total,1144,20 a 24 anos,2780,Indígena,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,124521,11,Rondônia,2932,Total,1145,25 a 29 anos,95251,Total,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,35382,11,Rondônia,2932,Total,1145,25 a 29 anos,2776,Branca,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,11484,11,Rondônia,2932,Total,1145,25 a 29 anos,2777,Preta,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,372,11,Rondônia,2932,Total,1145,25 a 29 anos,2778,Amarela,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,75855,11,Rondônia,2932,Total,1145,25 a 29 anos,2779,Parda,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,1424,11,Rondônia,2932,Total,1145,25 a 29 anos,2780,Indígena,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,123827,11,Rondônia,2932,Total,1146,30 a 34 anos,95251,Total,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,36082,11,Rondônia,2932,Total,1146,30 a 34 anos,2776,Branca,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,11822,11,Rondônia,2932,Total,1146,30 a 34 anos,2777,Preta,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,373,11,Rondônia,2932,Total,1146,30 a 34 anos,2778,Amarela,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,74335,11,Rondônia,2932,Total,1146,30 a 34 anos,2779,Parda,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,1213,11,Rondônia,2932,Total,1146,30 a 34 anos,2780,Indígena,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,126871,11,Rondônia,2932,Total,1147,35 a 39 anos,95251,Total,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,36760,11,Rondônia,2932,Total,1147,35 a 39 anos,2776,Branca,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,12541,11,Rondônia,2932,Total,1147,35 a 39 anos,2777,Preta,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,417,11,Rondônia,2932,Total,1147,35 a 39 anos,2778,Amarela,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,76117,11,Rondônia,2932,Total,1147,35 a 39 anos,2779,Parda,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,1032,11,Rondônia,2932,Total,1147,35 a 39 anos,2780,Indígena,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,123156,11,Rondônia,2932,Total,1148,40 a 44 anos,95251,Total,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,36060,11,Rondônia,2932,Total,1148,40 a 44 anos,2776,Branca,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,12859,11,Rondônia,2932,Total,1148,40 a 44 anos,2777,Preta,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,362,11,Rondônia,2932,Total,1148,40 a 44 anos,2778,Amarela,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,73035,11,Rondônia,2932,Total,1148,40 a 44 anos,2779,Parda,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,836,11,Rondônia,2932,Total,1148,40 a 44 anos,2780,Indígena,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,106284,11,Rondônia,2932,Total,1149,45 a 49 anos,95251,Total,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,32428,11,Rondônia,2932,Total,1149,45 a 49 anos,2776,Branca,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,10966,11,Rondônia,2932,Total,1149,45 a 49 anos,2777,Preta,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,267,11,Rondônia,2932,Total,1149,45 a 49 anos,2778,Amarela,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,61899,11,Rondônia,2932,Total,1149,45 a 49 anos,2779,Parda,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,719,11,Rondônia,2932,Total,1149,45 a 49 anos,2780,Indígena,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,95574,11,Rondônia,2932,Total,1150,50 a 54 anos,95251,Total,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,30623,11,Rondônia,2932,Total,1150,50 a 54 anos,2776,Branca,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,9930,11,Rondônia,2932,Total,1150,50 a 54 anos,2777,Preta,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,253,11,Rondônia,2932,Total,1150,50 a 54 anos,2778,Amarela,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,54165,11,Rondônia,2932,Total,1150,50 a 54 anos,2779,Parda,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,603,11,Rondônia,2932,Total,1150,50 a 54 anos,2780,Indígena,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,84291,11,Rondônia,2932,Total,1151,55 a 59 anos,95251,Total,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,28167,11,Rondônia,2932,Total,1151,55 a 59 anos,2776,Branca,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,8746,11,Rondônia,2932,Total,1151,55 a 59 anos,2777,Preta,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,265,11,Rondônia,2932,Total,1151,55 a 59 anos,2778,Amarela,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,46611,11,Rondônia,2932,Total,1151,55 a 59 anos,2779,Parda,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,501,11,Rondônia,2932,Total,1151,55 a 59 anos,2780,Indígena,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,67572,11,Rondônia,2932,Total,1152,60 a 64 anos,95251,Total,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,23499,11,Rondônia,2932,Total,1152,60 a 64 anos,2776,Branca,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,7046,11,Rondônia,2932,Total,1152,60 a 64 anos,2777,Preta,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,254,11,Rondônia,2932,Total,1152,60 a 64 anos,2778,Amarela,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,36413,11,Rondônia,2932,Total,1152,60 a 64 anos,2779,Parda,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,360,11,Rondônia,2932,Total,1152,60 a 64 anos,2780,Indígena,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,50084,11,Rondônia,2932,Total,1153,65 a 69 anos,95251,Total,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,17999,11,Rondônia,2932,Total,1153,65 a 69 anos,2776,Branca,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,5138,11,Rondônia,2932,Total,1153,65 a 69 anos,2777,Preta,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,186,11,Rondônia,2932,Total,1153,65 a 69 anos,2778,Amarela,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,26487,11,Rondônia,2932,Total,1153,65 a 69 anos,2779,Parda,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,273,11,Rondônia,2932,Total,1153,65 a 69 anos,2780,Indígena,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,33911,11,Rondônia,2932,Total,1154,70 a 74 anos,95251,Total,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,12852,11,Rondônia,2932,Total,1154,70 a 74 anos,2776,Branca,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,3471,11,Rondônia,2932,Total,1154,70 a 74 anos,2777,Preta,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,125,11,Rondônia,2932,Total,1154,70 a 74 anos,2778,Amarela,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,17238,11,Rondônia,2932,Total,1154,70 a 74 anos,2779,Parda,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,224,11,Rondônia,2932,Total,1154,70 a 74 anos,2780,Indígena,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,21148,11,Rondônia,2932,Total,1155,75 a 79 anos,95251,Total,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,8156,11,Rondônia,2932,Total,1155,75 a 79 anos,2776,Branca,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,2281,11,Rondônia,2932,Total,1155,75 a 79 anos,2777,Preta,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,80,11,Rondônia,2932,Total,1155,75 a 79 anos,2778,Amarela,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,10466,11,Rondônia,2932,Total,1155,75 a 79 anos,2779,Parda,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,162,11,Rondônia,2932,Total,1155,75 a 79 anos,2780,Indígena,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,13128,11,Rondônia,2932,Total,6802,80 a 84 anos,95251,Total,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,5146,11,Rondônia,2932,Total,6802,80 a 84 anos,2776,Branca,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,1381,11,Rondônia,2932,Total,6802,80 a 84 anos,2777,Preta,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,47,11,Rondônia,2932,Total,6802,80 a 84 anos,2778,Amarela,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,6445,11,Rondônia,2932,Total,6802,80 a 84 anos,2779,Parda,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,109,11,Rondônia,2932,Total,6802,80 a 84 anos,2780,Indígena,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,6308,11,Rondônia,2932,Total,6803,85 a 89 anos,95251,Total,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,2490,11,Rondônia,2932,Total,6803,85 a 89 anos,2776,Branca,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,665,11,Rondônia,2932,Total,6803,85 a 89 anos,2777,Preta,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,23,11,Rondônia,2932,Total,6803,85 a 89 anos,2778,Amarela,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,3080,11,Rondônia,2932,Total,6803,85 a 89 anos,2779,Parda,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,50,11,Rondônia,2932,Total,6803,85 a 89 anos,2780,Indígena,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,2434,11,Rondônia,2932,Total,92963,90 a 94 anos,95251,Total,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,993,11,Rondônia,2932,Total,92963,90 a 94 anos,2776,Branca,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,270,11,Rondônia,2932,Total,92963,90 a 94 anos,2777,Preta,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,17,11,Rondônia,2932,Total,92963,90 a 94 anos,2778,Amarela,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,1132,11,Rondônia,2932,Total,92963,90 a 94 anos,2779,Parda,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,22,11,Rondônia,2932,Total,92963,90 a 94 anos,2780,Indígena,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,615,11,Rondônia,2932,Total,92964,95 a 99 anos,95251,Total,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,221,11,Rondônia,2932,Total,92964,95 a 99 anos,2776,Branca,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,73,11,Rondônia,2932,Total,92964,95 a 99 anos,2777,Preta,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,5,11,Rondônia,2932,Total,92964,95 a 99 anos,2778,Amarela,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,302,11,Rondônia,2932,Total,92964,95 a 99 anos,2779,Parda,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,14,11,Rondônia,2932,Total,92964,95 a 99 anos,2780,Indígena,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,142,11,Rondônia,2932,Total,92965,100 anos ou mais,95251,Total,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,38,11,Rondônia,2932,Total,92965,100 anos ou mais,2776,Branca,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,29,11,Rondônia,2932,Total,92965,100 anos ou mais,2777,Preta,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,1,11,Rondônia,2932,Total,92965,100 anos ou mais,2778,Amarela,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,65,11,Rondônia,2932,Total,92965,100 anos ou mais,2779,Parda,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,9,11,Rondônia,2932,Total,92965,100 anos ou mais,2780,Indígena,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,1451685,11,Rondônia,6815,Casa,95253,Total,95251,Total,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,443202,11,Rondônia,6815,Casa,95253,Total,2776,Branca,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,125686,11,Rondônia,6815,Casa,95253,Total,2777,Preta,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,3696,11,Rondônia,6815,Casa,95253,Total,2778,Amarela,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,862491,11,Rondônia,6815,Casa,95253,Total,2779,Parda,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,16579,11,Rondônia,6815,Casa,95253,Total,2780,Indígena,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,104055,11,Rondônia,6815,Casa,1140,0 a 4 anos,95251,Total,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,36367,11,Rondônia,6815,Casa,1140,0 a 4 anos,2776,Branca,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,4239,11,Rondônia,6815,Casa,1140,0 a 4 anos,2777,Preta,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,169,11,Rondônia,6815,Casa,1140,0 a 4 anos,2778,Amarela,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,61419,11,Rondônia,6815,Casa,1140,0 a 4 anos,2779,Parda,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,1860,11,Rondônia,6815,Casa,1140,0 a 4 anos,2780,Indígena,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,108328,11,Rondônia,6815,Casa,1141,5 a 9 anos,95251,Total,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,32475,11,Rondônia,6815,Casa,1141,5 a 9 anos,2776,Branca,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,5610,11,Rondônia,6815,Casa,1141,5 a 9 anos,2777,Preta,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,170,11,Rondônia,6815,Casa,1141,5 a 9 anos,2778,Amarela,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,68119,11,Rondônia,6815,Casa,1141,5 a 9 anos,2779,Parda,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,1953,11,Rondônia,6815,Casa,1141,5 a 9 anos,2780,Indígena,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,109206,11,Rondônia,6815,Casa,1142,10 a 14 anos,95251,Total,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,30346,11,Rondônia,6815,Casa,1142,10 a 14 anos,2776,Branca,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
